id	0	1	cluster
104.0	-9037.247546904577	-2181.7708895963465	6.0
105.0	-8896.94996395761	-2049.2302915859905	6.0
106.0	-9013.943168488737	-1933.4357893532388	6.0
107.0	-9016.106880525644	-1929.07635876112	6.0
108.0	-8953.227669576385	-2061.19090424829	6.0
109.0	-8975.951470523527	-2050.5156677559953	6.0
110.0	-9104.806286043653	-1989.1058695626446	6.0
111.0	-9106.8687787441	-2165.149425518517	6.0
112.0	-9062.858895186966	-2150.5891466221647	6.0
113.0	-8967.530322797758	-2240.5639084272707	6.0
114.0	-9095.83692268773	-2133.156242615577	6.0
115.0	-9192.633781834838	-2067.481439524594	6.0
116.0	-9096.718300849552	-1897.1964082000372	6.0
117.0	-9103.113230849	-1900.1805003373486	6.0
118.0	-9085.225425394065	-1904.593083342812	6.0
119.0	-9193.763111279784	-1800.7751771113155	6.0
120.0	-9102.222166014864	-1906.511269542913	6.0
121.0	-9090.444165297462	-1903.220001030786	6.0
122.0	-9050.245969615053	-1871.4474131638856	6.0
123.0	-9109.310969255872	-1686.0391303781778	6.0
124.0	-9151.696982181043	-1496.4389830307955	6.0
125.0	-9189.841887904526	-1447.3086420701065	6.0
126.0	-9004.169684307733	-1399.097440259771	6.0
127.0	-9025.235933983653	-1209.4088632709108	6.0
128.0	-8983.265147773178	-1051.5023281074473	6.0
129.0	-9011.394728102165	-1019.9764782033217	6.0
130.0	-8838.072916242843	-1097.4175583153283	6.0
131.0	-8742.805459732965	-1057.3650213967712	6.0
132.0	-8640.822632590065	-1157.2926808599964	6.0
133.0	-8703.231614475182	-1008.9110525858614	6.0
134.0	-8608.667466732271	-1008.7313135669028	6.0
135.0	-8608.050541024299	-1008.5388015715927	6.0
136.0	-8476.607907585709	-1147.5083200430895	6.0
137.0	-8479.931301245608	-1151.314888622631	6.0
138.0	-8470.70812914959	-1153.056479989404	6.0
139.0	-8525.013702452206	-1251.2740645855008	6.0
140.0	-8528.807111812883	-1333.2479362294634	6.0
141.0	-8422.971638007095	-1467.9153028174433	6.0
142.0	-8434.246961112089	-1439.6032907546717	6.0
143.0	-8422.10333723658	-1450.974074870473	6.0
144.0	-8438.908865141791	-1454.18449674471	6.0
145.0	-8442.059544436479	-1456.0232346928076	6.0
